pmid,year,journal,title,doi,article_group,categories,publication_types,pubmed_url
42104709,2026,Journal of periodontology,RETRACTION: Effect of Porphyromonas gingivalis Lipopolysaccharide on Bone Marrow Mesenchymal Stem Cell Osteogenesis on a Titanium Nanosurface.,10.1002/jper.70148,Original Article,其他牙周臨床/基礎研究,Journal Article; Retraction Notice,https://pubmed.ncbi.nlm.nih.gov/42104709/
42083431,2026,Journal of periodontology,Transcriptomic analysis of gingival tissues in resolved experimental periodontal lesions of nonhuman primates.,10.1002/jper.70048,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42083431/
42070085,2026,Journal of periodontology,The relationship between adverse childhood experiences and periodontitis in young adults.,10.1002/jper.70144,Original Article,全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42070085/
42054008,2026,Journal of periodontology,Deep learning cone-beam computed tomography image segmentation for the 3D visualization of mandibular infraosseous periodontal defects.,10.1002/jper.70058,Original Article,分類與治療指引; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42054008/
42047219,2026,Journal of periodontology,Understanding peri-implantitis occurrence and recurrence following treatment: A patient-centered study.,10.1002/jper.70133,Original Article,分類與治療指引; 植體周圍疾病; SPT/SPC 與風險評估; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42047219/
42003282,2026,Journal of periodontology,Degraded trabecular bone score and periodontitis progression: 5-year cohort with increased risk in postmenopausal women.,10.1002/jper.70126,Original Article,分類與治療指引; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42003282/
42002984,2026,Journal of periodontology,Consuming heat-inactivated Lactiplantibacillus pentosus ONRICb0240-containing postbiotics reduces gingival inflammation: A double-blind randomized clinical trial.,10.1002/jper.70141,Original Article,分類與治療指引; SPT/SPC 與風險評估; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42002984/
42001258,2026,Journal of periodontology,Impact of leaving periodontal disease untreated on healthcare expenditures: A retrospective cohort study.,10.1002/jper.70136,Original Article,診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42001258/
42001255,2026,Journal of periodontology,Effect of periodontal treatment on adipokines in patients with type 2 diabetes mellitus: A systematic review.,10.1002/jper.70121,Review,全身疾病與危險因子,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/42001255/
42001254,2026,Journal of periodontology,Gingival inflammation and plaque accumulation affect therapeutic outcomes in patients with acne vulgaris.,10.1002/jper.70137,Original Article,分類與治療指引; 非手術治療與抗菌輔助; 全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/42001254/
